6608	4.10.attendance.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/Lori A Harris/911 BOD/4.10.02mtg/4.10.attendance.doc	Microsoft Word 97	21504	4/10/2002 10:30:34 AM (2002-04-10 14:30:34 UTC)	4632DD988E54C6A27737F4D614ADBD16
7134	4.10.attendance.doc	source [AD1]/September11Fund/Board/2002 Mtgs/04-10-02 Mtg/4.10.attendance.doc	Microsoft Word 97	20992	7/10/2002 11:17:46 AM (2002-07-10 15:17:46 UTC)	C646D7768B7CC56E3A976BDD6FABBEA3
6612	6mo.coverletter.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/Lori A Harris/911 BOD/6mo.coverletter.doc	Microsoft Word 97	19456	4/1/2002 12:10:18 PM (2002-04-01 17:10:18 UTC)	3D1E203F854EE1905009843D3BDD1D8E
6613	6MONTHPRESS.ATTENDANCE.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/Lori A Harris/911 BOD/6MONTHPRESS.ATTENDANCE.doc	Microsoft Word 97	23552	3/1/2002 9:47:14 AM (2002-03-01 14:47:14 UTC)	555C46D24E1C5187ABA1DC6BB2DD619F
7252	7-31-03911 Financial Stmt Draft.xls	source [AD1]/September11Fund/Board/2003 Mtgs/10-01-03 Mtg/7-31-03911 Financial Stmt Draft.xls	Excel 97	21504	9/23/2003 5:38:58 PM (2003-09-23 21:38:58 UTC)	4C5C58301A4289AAFC6A0A5095F371C8
7158	7.10.attendance.doc	source [AD1]/September11Fund/Board/2002 Mtgs/07-10-02 Mtg/7.10.attendance.doc	Microsoft Word 97	22528	7/10/2002 12:11:56 PM (2002-07-10 16:11:56 UTC)	6F8329D68E174773102B3C09C2CEBF12
6615	7.10.reminder.dot	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/Lori A Harris/911 BOD/7.10.02 mtg/7.10.reminder.dot	Microsoft Word 97	189952	6/28/2002 5:21:10 PM (2002-06-28 21:21:10 UTC)	F3D7916D4D53582CE75DFF861CDE9D11
7166	9.04.attendance.doc	source [AD1]/September11Fund/Board/2002 Mtgs/09-04-02 Mtg/9.04.attendance.doc	Microsoft Word 97	22016	9/4/2002 11:09:42 AM (2002-09-04 15:09:42 UTC)	07C89EA7D9103411D5774EAC61F9D98A
7135	911 Admin Budget v Actual2.xls	source [AD1]/September11Fund/Board/2002 Mtgs/04-10-02 Mtg/911 Admin Budget v Actual2.xls	Excel 97	77312	4/4/2002 3:53:06 PM (2002-04-04 20:53:06 UTC)	53C4C95C11A335EB52ECAD0F8CE912F9
6777	911 Bd Admin Budget Slide 07 10 02.ppt	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/7-10-02 Mtg/911 Bd Admin Budget Slide 07 10 02.ppt	PowerPoint 97	91136	7/2/2002 6:42:50 PM (2002-07-02 22:42:50 UTC)	0013BD793E2935A6F04CAAEDF474DD05
