SERIESINFO						
cid	M18867					
cname	The Morris Dickstein papers
compId	M18867_ER_0002				
component	1987					
parentComponent	Electronic Records
access	true					
INVENTORY						
20089	REPORT.DOG	M18867-0017.001/NONAME [FAT12]/[root]/REPORT.DOG	Unknown	11198	10/13/1987 2:43:04 PM (1987-10-13 18:43:04 UTC)	A193A27AC93CDF6E30328FE4459EAA82
27006	ROTH	M18867-0022.001/NONAME [FAT12]/[root]/ROTH	WordPerfect 4.2	16231	11/2/1987 12:02:44 PM (1987-11-02 17:02:44 UTC)	089F7206DFBE745D61A1A6C67EB09938
36005	ROTH	M18867-0039.001/NONAME [FAT12]/[root]/ROTH	WordPerfect 4.2	16132	11/1/1987 11:36:00 PM (1987-11-02 04:36:00 UTC)	3D2043B34BFAE93885D732B85CD61113
27007	ROTH2	M18867-0022.001/NONAME [FAT12]/[root]/ROTH2	WordPerfect 4.2	18599	11/4/1987 3:28:38 PM (1987-11-04 20:28:38 UTC)	26F82D835589559743486382D4187500
27008	SHINIT	M18867-0022.001/NONAME [FAT12]/[root]/SHINIT	Unknown	11940	10/9/1987 10:52:50 AM (1987-10-09 14:52:50 UTC)	FE93847F8F4691F5CDC6270B18989002
15006	SILVERS	M18867-0015.001/NONAME [FAT12]/[root]/SILVERS	WordPerfect 4.2	2270	3/22/1987 3:48:20 PM (1987-03-22 20:48:20 UTC)	4C7F587D4A09DE0955092171ED6F7D9F
41004	STERN	M18867-0041.001/NONAME [FAT12]/[root]/STERN	WordPerfect 4.2	10146	1/24/1987 1:03:58 PM (1987-01-24 18:03:58 UTC)	8023EAA3C40141DEB19085E2F7B854B7
15007	STEVENS	M18867-0015.001/NONAME [FAT12]/[root]/STEVENS	WordPerfect 4.2	3850	5/14/1987 10:14:08 PM (1987-05-15 02:14:08 UTC)	1D9E8D61419D17CA0269EE37008C7D6A
1004	SUNSETBD.MOV	M18867-0004.001/NONAME [FAT12]/[root]/SUNSETBD.MOV	WordPerfect 4.2	20783	11/4/1987 4:20:50 PM (1987-11-04 21:20:50 UTC)	A66E473EC5C5ABECE1665137A443F3BD
15010	TYTELL	M18867-0015.001/NONAME [FAT12]/[root]/TYTELL	WordPerfect 4.2	1203	6/13/1987 12:34:20 PM (1987-06-13 16:34:20 UTC)	5194C2FFFF79950F1F38D0D011C0071C
15011	TYTELL2	M18867-0015.001/NONAME [FAT12]/[root]/TYTELL2	WordPerfect 4.2	2184	6/13/1987 1:03:48 PM (1987-06-13 17:03:48 UTC)	73E2EEB76EC54042559E568F95CD6F20
15012	WAYNE	M18867-0015.001/NONAME [FAT12]/[root]/WAYNE	WordPerfect 4.2	5283	6/13/1987 4:12:24 PM (1987-06-13 20:12:24 UTC)	ABF803724801ED957D1F9B2020D018BA
15014	WAYNEST2	M18867-0015.001/NONAME [FAT12]/[root]/WAYNEST2	WordPerfect 4.2	2931	10/13/1987 6:56:02 PM (1987-10-13 22:56:02 UTC)	C960658620E5970E0C7A1149FCCCBA73
5006	WW3SR	M18867-0013.001/NONAME [FAT12]/[root]/WW3SR	Unknown	43837	1/16/1987 12:04:14 PM (1987-01-16 17:04:14 UTC)	9C549E080D305F5EB909EE23AC4F592E
